gameid,clkTime,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,msgTime,role,contents,workerid_uniq,numOutcome,numRawWords,numRawChars,numCleanChars,numCleanWords,source
8235-6,1459877341290.0,9,split,target,51,33,50,3,3,distr2,335,41,50,1,2,distr1,72,49,50,2,1,14,49,66,True,1459877339111.0,speaker,brownish,968.0,1.0,1,8,8.0,1.0,human
8235-6,1459877399936.0,11,close,target,90,54,50,2,1,distr1,74,23,50,3,2,distr2,95,26,50,1,3,15,13,5,True,1459877398476.0,speaker,the bright green,968.0,1.0,3,14,11.0,2.0,human
8235-6,1459877412931.0,12,far,target,47,39,50,1,3,distr1,231,3,50,2,1,distr2,320,24,50,3,2,29,47,21,True,1459877411308.0,speaker,brownish,968.0,1.0,1,8,8.0,1.0,human
8235-6,1459877422020.0,13,far,target,14,53,50,1,2,distr2,53,15,50,2,3,distr1,138,67,50,3,1,65,29,28,True,1459877420743.0,speaker,reddish,968.0,1.0,1,7,7.0,1.0,human
8235-6,1459877431485.0,14,close,target,316,3,50,3,1,distr2,215,31,50,2,2,distr1,253,16,50,1,3,15,18,13,True,1459877430477.0,speaker,grey,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877443841.0,15,split,target,214,20,50,2,3,distr1,181,20,50,3,2,distr2,168,84,50,1,1,18,40,26,True,1459877440439.0,speaker,dark blue,968.0,1.0,2,8,8.0,2.0,human
8235-6,1459877454170.0,16,split,target,254,40,50,1,1,distr1,221,60,50,2,3,distr2,134,39,50,3,2,13,55,54,True,1459877452528.0,speaker,purple,968.0,1.0,1,6,6.0,1.0,human
8235-6,1459877472016.0,17,split,target,337,59,50,1,3,distr1,317,67,50,2,1,distr2,43,43,50,3,2,12,49,58,True,1459877469143.0,speaker,dark pink; not bright pink,968.0,1.0,5,21,18.0,4.0,human
8235-6,1459877494483.0,18,close,target,138,55,50,3,2,distr1,83,27,50,1,3,distr2,162,35,50,2,1,15,15,17,True,1459877492779.0,speaker,brightest green,968.0,1.0,2,14,14.0,2.0,human
8235-6,1459877515389.0,19,close,target,101,80,50,3,2,distr2,96,57,50,2,3,distr1,138,71,50,1,1,8,7,9,True,1459877512927.0,speaker,brightest green,968.0,1.0,2,14,14.0,2.0,human
8235-6,1459877534591.0,20,close,target,276,73,50,1,3,distr1,292,45,50,3,1,distr2,316,81,50,2,2,10,19,12,True,1459877531108.0,speaker,"dark purple (good job on the last two, by the way)",968.0,1.0,11,37,27.0,7.0,human
8235-6,1459877566880.0,21,split,target,6,68,50,3,2,distr2,33,74,50,1,3,distr1,348,63,50,2,1,13,27,37,True,1459877556453.0,speaker,"dark orange (not the red, and not the lighter orange)",968.0,1.0,10,41,26.0,5.0,human
8235-6,1459877599853.0,22,split,target,285,30,50,2,3,distr1,298,56,50,3,2,distr2,163,96,50,1,1,10,59,62,True,1459877591036.0,speaker,purple; not pink or teal (good on the last one),968.0,1.0,10,35,25.0,6.0,human
8235-6,1459877614379.0,23,close,target,126,48,50,2,3,distr1,165,98,50,1,2,distr2,153,70,50,3,1,19,10,10,True,1459877610659.0,speaker,darkest green,968.0,1.0,2,12,12.0,2.0,human
8235-6,1459877627085.0,24,close,target,299,53,50,2,2,distr1,300,29,50,1,1,distr2,286,35,50,3,3,8,8,5,True,1459877625200.0,speaker,brightest pink,968.0,1.0,2,13,13.0,2.0,human
8235-6,1459877648648.0,25,close,target,339,13,50,2,2,distr2,6,13,50,3,3,distr1,357,52,50,1,1,19,6,19,True,1459877644570.0,speaker,grey; not grey-brown or red,968.0,1.0,5,21,16.0,4.0,human
8235-6,1459877672422.0,26,close,target,67,16,50,2,3,distr1,130,31,50,3,1,distr2,76,32,50,1,2,15,10,12,True,1459877669889.0,speaker,grey-green,968.0,1.0,1,9,9.0,2.0,human
8235-6,1459877685079.0,27,split,target,254,20,50,3,2,distr1,248,46,50,1,3,distr2,290,99,50,2,1,15,23,22,True,1459877683233.0,speaker,grey-purple,968.0,1.0,1,10,10.0,2.0,human
8235-6,1459877700345.0,28,far,target,94,24,50,2,3,distr2,115,81,50,3,1,distr1,169,76,50,1,2,23,23,23,True,1459877698057.0,speaker,olive (not teal or bright green),968.0,1.0,6,25,20.0,4.0,human
8235-6,1459877723056.0,29,split,target,238,64,50,2,3,distr2,32,94,50,1,2,distr1,238,50,50,3,1,5,67,63,True,1459877720805.0,speaker,bright blue (not one with hint of purple),968.0,1.0,8,32,23.0,5.0,human
8235-6,1459877730867.0,30,far,target,191,5,50,3,2,distr2,4,19,50,2,3,distr1,82,78,50,1,1,40,24,54,True,1459877729362.0,speaker,grey,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877743729.0,31,split,target,250,35,50,3,1,distr1,265,54,50,1,3,distr2,355,72,50,2,2,8,38,39,True,1459877741023.0,speaker,dull purple,968.0,1.0,2,10,10.0,2.0,human
8235-6,1459877751978.0,32,split,target,162,79,50,2,1,distr2,51,50,50,3,2,distr1,97,68,50,1,3,18,32,22,True,1459877750335.0,speaker,teal,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877761004.0,33,close,target,88,50,50,2,2,distr1,138,58,50,3,3,distr2,150,79,50,1,1,11,15,6,True,1459877760050.0,speaker,olive,968.0,1.0,1,5,5.0,1.0,human
8235-6,1459877789997.0,34,split,target,128,80,50,3,2,distr2,8,23,50,2,3,distr1,100,88,50,1,1,5,59,59,True,1459877780800.0,speaker,"green, but not neon green",968.0,1.0,5,20,14.0,3.0,human
8235-6,1459877807554.0,35,split,target,148,32,50,3,2,distr2,359,1,50,2,3,distr1,160,82,50,1,1,17,27,37,True,1459877804150.0,speaker,grey-teal (good on the last one),968.0,1.0,6,24,19.0,5.0,human
8235-6,1459877823236.0,36,far,target,58,52,50,1,2,distr1,350,6,50,3,3,distr2,209,62,50,2,1,37,64,26,True,1459877817204.0,speaker,orange,968.0,1.0,1,6,6.0,1.0,human
8235-6,1459877831685.0,37,far,target,143,17,50,2,2,distr1,6,40,50,3,1,distr2,327,87,50,1,3,45,61,22,True,1459877830398.0,speaker,grey,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877843586.0,38,close,target,195,51,50,1,1,distr1,193,95,50,3,3,distr2,194,78,50,2,2,11,6,5,True,1459877839982.0,speaker,grey-blue,968.0,1.0,1,8,8.0,2.0,human
8235-6,1459877853451.0,39,far,target,101,89,50,2,1,distr2,277,90,50,1,3,distr1,16,14,50,3,2,49,109,36,True,1459877851566.0,speaker,green,968.0,1.0,1,5,5.0,1.0,human
8235-6,1459877868261.0,40,close,target,105,78,50,2,3,distr2,147,84,50,1,1,distr1,76,89,50,3,2,11,9,18,True,1459877862908.0,speaker,darkest green,968.0,1.0,2,12,12.0,2.0,human
8235-6,1459877875847.0,41,far,target,340,64,50,2,1,distr1,251,7,50,1,3,distr2,64,18,50,3,2,27,49,31,True,1459877874562.0,speaker,pink,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877885600.0,42,close,target,71,64,50,3,2,distr2,107,28,50,1,3,distr1,130,67,50,2,1,16,19,15,True,1459877883823.0,speaker,yellow,968.0,1.0,1,6,6.0,1.0,human
8235-6,1459877895321.0,43,split,target,231,32,50,3,1,distr1,206,39,50,1,2,distr2,354,47,50,2,3,15,34,44,True,1459877893340.0,speaker,purple,968.0,1.0,1,6,6.0,1.0,human
8235-6,1459877903219.0,44,far,target,125,96,50,1,1,distr2,237,49,50,2,3,distr1,12,77,50,3,2,79,75,48,True,1459877902182.0,speaker,green,968.0,1.0,1,5,5.0,1.0,human
8235-6,1459877911419.0,45,split,target,1,42,50,2,2,distr1,352,11,50,1,1,distr2,126,82,50,3,3,17,77,55,True,1459877909333.0,speaker,red,968.0,1.0,1,3,3.0,1.0,human
8235-6,1459877919540.0,46,far,target,285,33,50,3,3,distr2,355,29,50,2,2,distr1,161,58,50,1,1,52,22,61,True,1459877918230.0,speaker,purple,968.0,1.0,1,6,6.0,1.0,human
8235-6,1459877950282.0,47,split,target,136,13,50,3,3,distr1,99,19,50,1,1,distr2,359,87,50,2,2,7,51,54,True,1459877945942.0,speaker,darker grey (not the lighter green-grey),968.0,1.0,6,32,26.0,5.0,human
8235-6,1459877968068.0,48,split,target,164,11,50,3,2,distr2,295,47,50,1,1,distr1,129,11,50,2,3,6,31,38,True,1459877963219.0,speaker,normal grey,968.0,1.0,2,10,10.0,2.0,human
8235-6,1459877976405.0,49,far,target,16,68,50,2,1,distr1,216,80,50,1,2,distr2,280,72,50,3,3,48,46,25,True,1459877975246.0,speaker,orange,968.0,1.0,1,6,6.0,1.0,human
8235-6,1459878000124.0,50,far,target,130,36,50,2,1,distr2,279,99,50,1,2,distr1,320,96,50,3,3,84,57,22,True,1459877994884.0,speaker,green (nice job!  I think we got one wrong.  nice working with you),968.0,1.0,13,49,39.0,9.0,human
2007-2,1459877283231.0,1,split,target,96,79,50,2,3,distr1,139,94,50,1,1,distr2,251,75,50,3,2,8,79,78,True,1459877281465.0,speaker,lime green,963.0,1.0,2,9,9.0,2.0,human
2007-2,1459877294568.0,2,close,target,191,3,50,1,3,distr2,309,34,50,3,1,distr1,281,40,50,2,2,18,16,9,True,1459877293380.0,speaker,gray,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877304292.0,3,far,target,32,8,50,2,3,distr1,110,76,50,1,1,distr2,355,28,50,3,2,38,22,69,True,1459877303117.0,speaker,gray,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877311720.0,4,far,target,168,4,50,2,2,distr2,139,81,50,1,1,distr1,245,58,50,3,3,35,35,73,True,1459877310473.0,speaker,gray,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877347896.0,5,split,target,5,39,50,1,1,distr1,353,61,50,2,2,distr2,303,95,50,3,3,8,33,31,True,1459877346747.0,speaker,the very dull red ~ lighter,963.0,1.0,1,7,7.0,1.0,human
2007-2,1459877355275.0,6,close,target,295,4,50,3,1,distr1,356,29,50,2,3,distr2,5,24,50,1,2,19,16,5,True,1459877354216.0,speaker,gray,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877368195.0,7,far,target,335,26,50,3,1,distr2,357,87,50,1,3,distr1,225,37,50,2,2,27,26,44,True,1459877366750.0,speaker,the purplish one,963.0,1.0,3,14,11.0,2.0,human
2007-2,1459877375541.0,8,far,target,271,27,50,1,2,distr2,137,11,50,3,1,distr1,31,86,50,2,3,50,34,37,True,1459877374329.0,speaker,purple,963.0,1.0,1,6,6.0,1.0,human
2007-2,1459877382680.0,9,split,target,257,75,50,3,3,distr2,26,14,50,2,1,distr1,282,71,50,1,2,12,43,39,True,1459877381223.0,speaker,blue,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877401040.0,10,close,target,316,60,50,3,1,distr2,301,18,50,1,3,distr1,306,64,50,2,2,5,14,15,True,1459877397384.0,speaker,the slightly darker pink,963.0,1.0,4,21,18.0,3.0,human
2007-2,1459877412097.0,11,split,target,225,21,50,3,3,distr2,77,32,50,1,2,distr1,289,21,50,2,1,16,46,57,True,1459877410780.0,speaker,blue,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877434731.0,12,close,target,96,55,50,2,2,distr1,118,57,50,1,1,distr2,76,22,50,3,3,5,16,19,True,1459877432875.0,speaker,lime green,963.0,1.0,2,9,9.0,2.0,human
2007-2,1459877445268.0,13,far,target,201,80,50,1,3,distr2,155,23,50,3,1,distr1,95,73,50,2,2,62,31,27,True,1459877442438.0,speaker,brigher blue,963.0,1.0,2,11,11.0,2.0,human
2007-2,1459877465407.0,14,close,target,210,46,50,3,1,distr2,215,14,50,2,3,distr1,232,51,50,1,2,17,11,17,True,1459877459978.0,speaker,the medium blue,963.0,1.0,3,13,10.0,2.0,human
2007-2,1459877488011.0,15,split,target,225,15,50,2,3,distr2,160,65,50,1,1,distr1,185,9,50,3,2,15,40,28,True,1459877485016.0,speaker,the dark bluish gray,963.0,1.0,4,17,14.0,3.0,human
2007-2,1459877494760.0,16,far,target,349,39,50,2,2,distr1,249,52,50,1,1,distr2,155,39,50,3,3,32,62,54,True,1459877493591.0,speaker,pink,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877516335.0,17,close,target,46,86,50,2,1,distr2,58,49,50,1,3,distr1,65,86,50,3,2,19,13,13,True,1459877514582.0,speaker,the orangeish one,963.0,1.0,3,15,12.0,2.0,human
2007-2,1459877530370.0,18,close,target,85,34,50,3,3,distr2,161,53,50,1,1,distr1,106,29,50,2,2,6,18,15,True,1459877527669.0,speaker,light green,963.0,1.0,2,10,10.0,2.0,human
2007-2,1459877539654.0,19,far,target,265,31,50,3,2,distr1,86,52,50,1,1,distr2,223,3,50,2,3,75,21,35,True,1459877537141.0,speaker,bright purple,963.0,1.0,2,12,12.0,2.0,human
2007-2,1459877558644.0,20,close,distr2,84,13,50,1,2,distr1,47,3,50,3,3,target,338,2,50,2,1,5,19,13,False,1459877557014.0,speaker,the darker gray,963.0,0.0,3,13,10.0,2.0,human
2007-2,1459877570759.0,21,far,target,155,77,50,2,1,distr2,241,5,50,1,3,distr1,323,79,50,3,2,92,40,27,True,1459877569017.0,speaker,turquoise,963.0,1.0,1,9,9.0,1.0,human
2007-2,1459877577541.0,22,far,target,117,81,50,1,2,distr1,4,14,50,3,1,distr2,55,60,50,2,3,55,24,40,True,1459877576273.0,speaker,green,963.0,1.0,1,5,5.0,1.0,human
2007-2,1459877588638.0,23,split,distr1,146,12,50,3,3,distr2,75,96,50,2,2,target,140,23,50,1,1,9,32,36,False,1459877585773.0,speaker,blue gray,963.0,0.0,2,8,8.0,2.0,human
2007-2,1459877602066.0,24,close,target,251,36,50,1,1,distr1,288,39,50,2,3,distr2,291,58,50,3,2,13,16,6,True,1459877600346.0,speaker,blue,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877615283.0,25,close,target,314,66,50,3,1,distr1,279,99,50,1,2,distr2,294,57,50,2,3,16,7,10,True,1459877613534.0,speaker,bright pink,963.0,1.0,2,10,10.0,2.0,human
2007-2,1459877639691.0,26,close,target,75,17,50,3,2,distr2,102,14,50,1,3,distr1,208,0,50,2,1,18,5,18,True,1459877635362.0,speaker,the less greenish gray,963.0,1.0,4,19,16.0,3.0,human
2007-2,1459877648129.0,27,split,target,222,90,50,1,1,distr2,293,86,50,3,2,distr1,231,46,50,2,3,7,24,26,True,1459877646921.0,speaker,bright blue,963.0,1.0,2,10,10.0,2.0,human
2007-2,1459877655279.0,28,far,target,254,4,50,2,1,distr2,166,95,50,1,2,distr1,318,99,50,3,3,29,42,66,True,1459877653944.0,speaker,gray,963.0,1.0,1,4,4.0,1.0,human
2007-2,1459877668950.0,29,split,distr1,232,5,50,1,2,target,269,10,50,2,1,distr2,177,66,50,3,3,9,42,34,False,1459877665778.0,speaker,the darker gray,963.0,0.0,3,13,10.0,2.0,human
2007-2,1459877676752.0,30,far,target,5,39,50,1,3,distr1,309,27,50,3,2,distr2,198,65,50,2,1,23,50,45,True,1459877674391.0,speaker,red,963.0,1.0,1,3,3.0,1.0,human
